#TYPE Selected.System.Management.Automation.PSCustomObject
"Name","Alias","type","EmailAddresses"
"(clr) Anlin Welding","CLRAnlinWelding",,"SMTP:AnlinWelding@clrs.local"
"(clr) Allied Blower","CLRAllied",,"SMTP:Allied@clrs.local"
"(clr) O/E Contractors","CLRO/EContractors",,"SMTP:O/EContractors@clrs.local"
"(clr) Air-Tech","CLRAir-Tech",,"SMTP:Air-Tech@clrs.local"
"(clr) Prairie Crane","CLRPrairieCrane",,"SMTP:PrairieCrane2@clrs.local"
"(clr) Areva","CLRareva",,"SMTP:areva@clrs.local"
"(clr) Altex","CLRAltex",,"SMTP:Altex@clrs.local"
"(clr) Alstom","CLRalstom",,"SMTP:alstom@clrs.local"
"(clr) Alliance Refractories","CLRAlliance",,"SMTP:Alliance@clrs.local"
"(clr) Precise Machine","CLRPrecise",,"SMTP:Precise@clrs.local"
"(clr) Atco Structures","CLRatcostructures",,"SMTP:atcostructures@clrs.local"
"(clr) Bird Const","CLRBird",,"SMTP:Bird@clrs.local"
"(clr) Plumber/Pipefitter IND Contractors","CLRPlumber/PipefitterINDContractors",,"SMTP:Plumber/PipefitterINDContractors@clrs.local"
"(clr) Black & McDonald","CLRBlack&McDonald",,"SMTP:Black&McDonald@clrs.local"
"(clr) Painter Employers","CLRpainteremployer",,"SMTP:painteremployer@clrs.local"
"(clr) Better SuperVision Course","CLRBetterSuperVisionCourse",,"SMTP:BetterSuperVisionCourse@clrs.local"
"(clr) BFI","CLRBFI",,"SMTP:BFI2@clrs.local"
"(clr) Atwork Construction","CLRAtwork",,"SMTP:Atwork@clrs.local"
"(clr) Plumber/Pipefitter Contractors","CLRPlumber/PipefitterContractors",,"SMTP:Plumber/PipefitterContractors@clrs.local"
"(clr) BHP Billiton","CLRbhp",,"SMTP:bhp@clrs.local"
"(clr) BM Metal Works","CLRBMMetal",,"SMTP:BMMetal@clrs.local"
"(clr) Sheet Metal COMM","CLRSheetMetalComm",,"SMTP:SheetMetalComm@clrs.local"
"(clr) Border Insulators","CLRBorder",,"SMTP:Border@clrs.local"
"(clr) Bill's Electric City","CLRBill'sElectricCity",,"SMTP:Bill'sElectricCity@clrs.local"
"(clr) Balzer's Canada","CLRBalzer's",,"SMTP:Balzer's@clrs.local"
"(clr) Breck Construction","CLRBreckConstruction",,"SMTP:BreckConstruction@clrs.local"
"(clr) Babcock & Wilcox","CLRbabcock",,"SMTP:babcock@clrs.local"
"(clr) CCRL","CLRCCRL",,"SMTP:CCRL@clrs.local"
"(clr) Brock","CLRBrock",,"SMTP:Brock@clrs.local"
"(clr) BSV Instructors","CLRBSVInstructors",,"SMTP:BSVInstructors@clrs.local"
"(clr) Bricklayer Contractors","CLRBricklayerContractors",,"SMTP:BricklayerContractors@clrs.local"
"(clr) C&B Stoneworks","CLRC&BStoneworks",,"SMTP:C&BStoneworks@clrs.local"
"(clr) Brxton","CLRBrxton",,"SMTP:Brxton@clrs.local"
"(clr) SunnyCorner Enterprises Inc.","CLRSunnyCorner",,"SMTP:SunnyCorner@clrs.local"
"(clr) Carpenter Contractors","CLRCarpenterContractors",,"SMTP:CarpenterContractors@clrs.local"
"(clr) Sheet Metal IND","CLRSheetMetalIND",,"SMTP:SheetMetalIND@clrs.local"
"(clr) BSV and A&D Training","CLRBSVAD",,"SMTP:BSVAD@clrs.local"
"(clr) C&E Mechanical","CLRC&E",,"SMTP:C&E@clrs.local"
"(clr) Canadian Stebbins","CLRCanadianStebbins",,"SMTP:CanadianStebbins@clrs.local"
"(clr) CLR Board of Directors","CLRCLRBOD",,"SMTP:CLRBOD@clrs.local"
"(clr) CK Masonry","CLRCKMasonry",,"SMTP:CKMasonry@clrs.local"
"(clr) TPA Distribution List","CLRTPADistributionList",,"SMTP:TPADistributionList@clrs.local"
"(clr) CLR Members - Cement Mason Trade Division","CLRCLRMembers-CementMasonTradeDivision",,"SMTP:CLRMembers-CementMasonTradeDivision@clrs.local"
"(clr) Clayburn Refractories","CLRClayburn",,"SMTP:Clayburn@clrs.local"
"(clr) CLR Council","CLRCLRcouncil",,"SMTP:CLRcouncil@clrs.local"
"(clr) CLR Members - Carpenter Trade Division","CLRCLRMembers-CarpenterTradeDivision",,"SMTP:CLRMembers-CarpenterTradeDivision@clrs.local"
"(clr) Chemco","CLRchemco",,"SMTP:chemco@clrs.local"
"(clr) CLR Elec Comm Ctrs","CLRCLRElecCommCtrs",,"SMTP:CLRElecCommCtrs@clrs.local"
"(clr) Training - CODC On-line","CLRTraining-CODCOn-line",,"SMTP:Training-CODCOn-line@clrs.local"
"(clr) Clearwater Energy Service","CLRClearwaterEnergyService",,"SMTP:ClearwaterEnergyService@clrs.local"
"(clr) Adler Firestopping","CLRAdlerFire",,"SMTP:AdlerFire@clrs.local smtp:CLRAdlerFire@clrs.org smtp:CLRAdlerFire@codc.ca"
"(clr) Chinook Scaffold","CLRChinookScaffold",,"SMTP:ChinookScaffold@clrs.local"
"(clr) Cement Mason Contractors","CLRCMcontractors",,"SMTP:CMcontractors@clrs.local"
"(clr) CLR Members","CLRCLRMembers",,"SMTP:CLRMembers@clrs.local"
"(clr) Christie Mechanical","CLRChristieMech",,"SMTP:ChristieMech@clrs.local"
"(clr) CIMS","CLRCIMS",,"SMTP:CIMS@clrs.local"
"(clr) City Masonry","CLRCityMasonry",,"SMTP:CityMasonry@clrs.local"
"(clr) Unionized Contractors","CLRUnionizedContractors",,"SMTP:UnionizedContractors2@clrs.local"
"(clr) Centec Electric","CLRCentec",,"SMTP:Centec@clrs.local"
"(clr) Titan","CLRTitan",,"SMTP:Titan@clrs.local"
"(clr) Cimco Refrig","CLRCimcoRefrig",,"SMTP:CimcoRefrig@clrs.local"
"(clr) CLR Millwright Members","CLRCLRMillwrightMembers",,"SMTP:CLRMillwrightMembers@clrs.local"
"(clr) Derksen Mechanical","CLRDMS",,"SMTP:DMS@clrs.local"
"(clr) WaltersField","CLRWFS",,"SMTP:WFS@clrs.local"
"(clr) CLR Members - Ironworker Trade Division","CLRCLRMembers-IronworkerTradeDivision",,"SMTP:CLRMembers-IronworkerTradeDivision@clrs.local"
"(clr) CODC Board of Directors","CLRcodcbod",,"SMTP:codcbod@clrs.local"
"(clr) Dominion Construction","CLRDominion",,"SMTP:Dominion@clrs.local"
"(clr) Deco Interiors","CLRDeco",,"SMTP:Deco@clrs.local"
"(clr) CONSTRUCTION OWNERS GROUP","CLRCONSTRUCTIONOWNERSGROUP",,"SMTP:CONSTRUCTIONOWNERSGROUP@clrs.local"
"(clr) Double K","CLRDoubleK",,"SMTP:DoubleK@clrs.local"
"(clr) Coastal Steel","CLRCoastalSteel",,"SMTP:CoastalSteel@clrs.local"
"(clr) Discount Plumbing","CLRDiscount",,"SMTP:Discount@clrs.local"
"(clr) CLR Members - Millwright Trade Division","CLRCLRMembers-MillwrightTradeDivision",,"SMTP:CLRMembers-MillwrightTradeDivision@clrs.local"
"(clr) Custom Steel Erectors Ltd.","CLRCustomSteel",,"SMTP:CustomSteel@clrs.local"
"(clr) Coeus Electric & Controls Ltd.","CLRCoeus",,"SMTP:Coeus@clrs.local"
"(clr) Crane Rental Contractors","CLRCraneRentalContractors",,"SMTP:CraneRentalContractors@clrs.local"
"(clr) CLR Members - Labourer Trade Division","CLRCLRMembers-LabourerTradeDivision",,"SMTP:CLRMembers-LabourerTradeDivision@clrs.local"
"(clr) Foundation Piling Contractors","CLRFndPilingContractors",,"SMTP:FndPilingContractors@clrs.local"
"(clr) Edmonton Exchanger","CLREdmontonExchanger",,"SMTP:EdmontonExchanger@clrs.local"
"(clr) Ellis Mechanical","CLREllisMech",,"SMTP:EllisMech@clrs.local"
"(clr) Flaminio Ceilings","CLRFlaminioCeilings",,"SMTP:FlaminioCeilings@clrs.local"
"(clr) Eco-Consulting","CLREco-Consulting",,"SMTP:Eco-Consulting@clrs.local"
"(clr) E. S. Fox Ltd.","CLRESFox",,"SMTP:ESFox@clrs.local"
"(clr) ELEC Comm Ctrs","CLRELECCommCtrs",,"SMTP:ELECCommCtrs@clrs.local"
"(clr) GanotecWest","CLRganotecwest",,"SMTP:ganotecwest@clrs.local"
"(clr) Edco Plumbing & Heating","CLREdcoPH",,"SMTP:EdcoPH@clrs.local"
"(clr) Fuller Austin","CLRFullerAustin",,"SMTP:FullerAustin@clrs.local"
"(clr) Drivercheck Inc.","CLRdrivercheck",,"SMTP:drivercheck@clrs.local"
"(clr) Flynn Industrial","CLRFlynn.industrial",,"SMTP:Flynn.industrial@clrs.local"
"(clr) Evraz","CLREvraz",,"SMTP:Evraz@clrs.local"
"(clr) Electrical Contractors","CLRElectricalContractors",,"SMTP:ElectricalContractors@clrs.local"
"(clr) Elance Steel","CLRElance",,"SMTP:Elance@clrs.local"
"(clr) GB Mobile","CLRGBMobile",,"SMTP:GBMobile@clrs.local"
"(clr) GETSCO Technical Service Inc.","CLRGETSCO",,"SMTP:GETSCO@clrs.local"
"(clr) Elevator Ctrs SK","CLRElevatorCtrsSK",,"SMTP:ElevatorCtrsSK@clrs.local"
"(clr) File Server Resource Manager Reports","CLRfsrmreports",,"SMTP:fsrmreports@clrs.local"
"(clr) Giesbrecht Cranes","CLRGiesbrecht",,"SMTP:Giesbrecht@clrs.local"
"(clr) Huber Construction","CLRHuberConstruction",,"SMTP:HuberConstruction@clrs.local"
"(clr) Interprovincial Insulation Inc.","CLRInterprovincial",,"SMTP:Interprovincial@clrs.local"
"(clr) Honest Plumbing & Heating","CLRHonest",,"SMTP:Honest@clrs.local"
"(clr) Holly","CLRHolly",,"SMTP:Holly@clrs.local"
"(clr) Grace Instrumentation","CLRGraceInst",,"SMTP:GraceInst@clrs.local"
"(clr) Industrial Scaffold","CLRIndScaff",,"SMTP:IndScaff@clrs.local"
"(clr) Iron Worker Contractors","CLRIronWorkerContractors",,"SMTP:IronWorkerContractors@clrs.local"
"(clr) Worley Industrial","CLRworleyindustrial",,"SMTP:jacobs@clrs.local"
"(clr) Keller Foundations","CLRKeller",,"SMTP:Keller@clrs.local"
"(clr) Ruszkowski Enterprises","CLRRuszkowskiEnterprises",,"SMTP:CLRRuszkowskiEnterprises@ksphosting.com X400:C=US;A= ;P=KSP Hosting;O=KSP?CORPORATE;S=CLRRuszkowskiEnterprises;"
"(clr) Soletanche Bachy Canada(formerly Agra)","CLRAgra",,"SMTP:Agra@clrs.local"
"(clr) Yara","CLRyara",,"SMTP:yara@clrs.local"
"(clr) Far North Crane","CLRFarNorthCrane",,"SMTP:CLRFarNorthCrane@ksphosting.com X400:C=US;A= ;P=KSP Hosting;O=KSP?CORPORATE;S=CLRFarNorthCrane;"
"(clr) Potash Corporation","CLRpotashcorp",,"SMTP:potashcorp@clrs.local"
"(clr) K+S Postash Canada","CLRkspotash",,"SMTP:kspotash@clrs.local"
"(clr) Worley Parsons","CLRworleyparson",,"SMTP:worleyparson@clrs.local"
"(clr) SaskPower","CLRSaskpower",,"SMTP:Saskpower@clrs.local"
"(clr) Scorpio Masonry","CLRScorpioMasonry",,"SMTP:ScorpioMasonry@clrs.local"
"(clr) Thorcan","CLRthorpecanada",,"SMTP:thorpecanada@clrs.local"
"(clr) Insight Masonry","CLRInsightMasonry",,"SMTP:InsightMasonry@clrs.local"
"(clr) Western Refractory","CLRWesternRefractory",,"SMTP:WesternRefractory@clrs.local"
"(clr) Max Refractory","CLRMaxRefractory",,"SMTP:MaxRefractory@clrs.local"
"(clr) JLP Masonry","CLRJLPMasonry",,"SMTP:JLPMasonry@clrs.local"
"(clr) Reftech","CLRreftech",,"SMTP:reftech@clrs.local"
"(clr) TransCanada","CLRTranscanada",,"SMTP:Transcanada@clrs.local"
"(clr) Sask Building Trades","CLRSaskBuildingTrades",,"SMTP:SaskBuildingTrades@clrs.local"
"(clr) Capitol Steel","CLRCapitolSteel",,"SMTP:CapitolSteel@clrs.local"
"(clr) Kusy's Electric","CLRKusy'sElec",,"SMTP:Kusy'sElec@clrs.local"
"(clr) Danrich Environmental Control Systems Ltd.","CLRDanrich",,"SMTP:Danrich@clrs.local"
"(clr) Globe-Elite","CLRGlobe-Elite",,"SMTP:Globe-Elite@clrs.local"
"(clr) Sim Electric","CLRSimElec",,"SMTP:SimElec@clrs.local"
"(clr) Icon Construction","CLRIconConst",,"SMTP:IconConst@clrs.local"
"(clr) Harris Rebar","CLRHarrisRebar",,"SMTP:HarrisRebar@clrs.local"
"(clr) Skyhigh","CLRSKYHIGH",,"SMTP:SKYHIGH@clrs.local"
"(clr) South East Construction","CLRSecon",,"SMTP:Secon@clrs.local"
"(clr) Vector Construction","CLRVectorConst",,"SMTP:VectorConst@clrs.local"
"(clr) Systems Scaffold","CLRSystems",,"SMTP:Systems@clrs.local"
"(clr) Park Derochie","CLRParkDerochie",,"SMTP:ParkDerochie@clrs.local"
"(clr) Tesc","CLRTesc",,"SMTP:Tesc@clrs.local"
"(clr) PCL Industrial","CLRPCLIndustrialConstructors",,"SMTP:PCLIndustrialConstructors@clrs.local"
"(clr) LML Industrial","CLRLML",,"SMTP:LML@clrs.local"
"(clr) Millenium Const","CLRMillConst",,"SMTP:MillConst@clrs.local"
"(clr) Safway","CLRSafway",,"SMTP:Safway@clrs.local"
"(clr) Unistrut","CLRUnistrut",,"SMTP:Unistrut@clrs.local"
"(clr) PCL Intracon","CLRPCLIntracon",,"SMTP:PCLIntracon@clrs.local"
"(clr) Pryme Iron Inc.","CLRPrymeIronInc",,"SMTP:PrymeIronInc@clrs.local"
"(clr) Armatures Bois-Francs Inc.","CLRArmaturesBoisFrancs",,"SMTP:ArmaturesBoisFrancs@clrs.local"
"(clr) R J Steel Erectors","CLRRJSteel",,"SMTP:RJSteel@clrs.local"
"(clr) Pro Metal","CLRProMetal",,"SMTP:ProMetal@clrs.local"
"(clr) Ram Steel","CLRRamSteel",,"SMTP:RamSteel@clrs.local"
"(clr) Pow City Mechanical","CLRPowCityMech",,"SMTP:PowCityMech@clrs.local"
"(clr) La Prairie Crane","CLRLaPrairieCrane",,"SMTP:LaPrairieCrane@clrs.local"
"(clr) Mammoet","CLRMammoet",,"SMTP:Mammoet@clrs.local"
"(clr) PS Electric","CLRPSElec",,"SMTP:PSElec@clrs.local"
"(clr) Supreme Steel","CLRSupreme",,"SMTP:Supreme@clrs.local"
"(clr) Wee-Lift Cranes","CLRWee-Lift",,"SMTP:Wee-Lift@clrs.local"
"(clr) VSL Canada","CLRVSL",,"SMTP:VSL@clrs.local"
"(clr) Peak Mechanical","CLRPeakMech",,"SMTP:PeakMech@clrs.local"
"(clr) Skyline Steel","CLRSkyline",,"SMTP:Skyline@clrs.local"
"(clr) Thorpe Bros","CLRThorpeBros",,"SMTP:ThorpeBros@clrs.local"
"(clr) Insulation Applicators","CLRInsulApp",,"SMTP:InsulApp@clrs.local"
"(clr) Western Pacific","CLRWesternPacific",,"SMTP:WesternPacific@clrs.local"
"(clr) Team Industrial","CLRTeamInd",,"SMTP:TeamInd@clrs.local"
"(clr) Horton CBI","CLRHortonCBI",,"SMTP:HortonCBI@clrs.local"
"(clr) Micro Industrial","CLRMicroInd",,"SMTP:MicroInd@clrs.local"
"(clr) Kaefer","CLRKaefer",,"SMTP:Kaefer@clrs.local"
"(clr) Michels Canada","CLRMichelsCanada",,"SMTP:MichelsCanada@clrs.local"
"(clr) Insulcana","CLRInsulcana",,"SMTP:Insulcana@clrs.local"
"(clr) Tesco","CLRTESCO",,"SMTP:TESCO@clrs.local"
"(clr) Marathon Mechanical","CLRMarathon2010",,"SMTP:Marathon2010@clrs.local"
"(clr) Lancaster","CLRLancaster",,"SMTP:Lancaster@clrs.local"
"(clr) RHI Canada","CLRRHI",,"SMTP:RHI@clrs.local"
"(clr) MBB Power Services","CLRMBBPower",,"SMTP:MBBPower@clrs.local"
"(clr) Taj Industrial (TMIF) Ltd","CLRTajIndustrial",,"SMTP:TajIndustrial@clrs.local"
"(clr) Laird Electric","CLRLairdElec",,"SMTP:LairdElec@clrs.local"
"(clr) Standard Mechanical","CLRStandardMechanical",,"SMTP:StandardMechanical@clrs.local"
"(clr) Suer & Pollon Mechanical","CLRSuer&PollonMech",,"SMTP:Suer&PollonMech@clrs.local"
"(clr) NCSG Crane","CLRNCSG",,"SMTP:NCSG@clrs.local"
"(clr) Western System Controls","CLRWSC",,"SMTP:WSC@clrs.local"
"(clr) National Crane","CLRNationalCrane",,"SMTP:NationalCrane@clrs.local"
"(clr) Skylift","CLRSkylift",,"SMTP:Skylift@clrs.local"
"(clr) Lift All Crane","CLRLiftAll",,"SMTP:LiftAll@clrs.local"
"(clr) Waiward Steel Fabricators","CLRWaiward",,"SMTP:Waiward@clrs.local"
"(clr) Sterling Crane","CLRSterlingCrane",,"SMTP:SterlingCrane@clrs.local"
"(clr) Whiskey Jack Cranes","CLRWhiskeyJack",,"SMTP:WhiskeyJack@clrs.local"
"(clr) Thorpe Roofing","CLRThorpeIndustries",,"SMTP:ThorpeIndustries@clrs.local"
"(clr) Micron Controls","CLRMicronControls",,"SMTP:MicronControls@clrs.local"
"(clr) TIW Steel Plate Inc","CLRTIWSteelPlate",,"SMTP:TIWSteelPlate@clrs.local"
"(clr) Hub City Steel","CLRHubCity",,"SMTP:HubCity@clrs.local"
